cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,280,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,16.8196,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0161,244.38,1145.54
256,288,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,5,17.1636,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0162,246.33,1130.22
256,296,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,17.3667,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0138,250.21,1124.55
256,304,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,17.623,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0137,253.23,1115.63
256,312,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,17.8372,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0138,256.78,1109.58
256,320,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,4,17.7354,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.0138,264.87,1123.34
256,328,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.226,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0137,264.19,1100.3
256,336,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.1608,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0139,271.6,1111.46
256,344,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.5378,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0137,272.41,1095.93
256,352,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.3661,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0137,281.35,1113.31
256,360,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.675,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0137,282.99,1101.92
256,368,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.8126,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0138,287.16,1100.82
256,376,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.9182,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0139,291.77,1101.61
256,384,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.9233,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0139,297.89,1108.24
256,32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,14.1318,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0185,68.56,2184.54
256,40,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,7,14.3139,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0194,84.61,2167.13
256,48,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,14.6708,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.018,99.06,2124.53
256,56,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,15.0293,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0176,112.82,2083.73
256,64,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.6227,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.018,132.52,2151.82
256,72,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,7,15.0844,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0198,144.52,2095.8
256,80,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,7,16.0087,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0195,151.31,1984.07
256,88,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,7,16.1244,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.02,165.24,1979.04
256,96,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,6,16.2338,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0182,179.05,1974.85
256,176,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,10.6186,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0028,156.42,1041.49
256,184,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,10.8345,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0028,160.27,1027.54
256,192,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,11.0118,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0028,164.55,1017.7
256,80,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,2,1,6.011,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE,0.0,55.82,820.43
256,320,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,7.4419,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,180.35,959.89
256,40,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,4,1,6.4351,_ZN5aiter37bf16gemm_fp32bf16_tn_48x64_pf3_splitkE,0.0,45.62,1236.1
256,56,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,2,1,6.2766,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE,0.0,65.49,1306.47
256,72,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,4,1,6.5373,_ZN5aiter37bf16gemm_fp32bf16_tn_48x64_pf3_splitkE,0.0,80.84,1291.96
256,80,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.8603,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,85.59,1249.05
256,96,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.8492,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,102.88,1286.95
256,104,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.8366,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,111.66,1307.3
256,112,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,6.839,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,120.21,1324.81
256,128,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,6,1,7.0215,_ZN5aiter37bf16gemm_fp32bf16_tn_64x64_pf3_splitkE,0.0,133.81,1325.37
256,168,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,7.7434,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,159.25,1281.16
256,192,7168,512,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,7.1076,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,198.28,1447.63
